input technique,input type,subject id,timestamp,time needed in ms,input
default,word typed,1,2017-06-21 11:32:07.493855,0.701975,"uickl"
default,key pressed,1,2017-06-21 11:32:07.822791,0.328958,"y"
default,sentence typed,1,2017-06-21 11:32:08.048651,11.936861,"the five boxing zwiards jump quickly"
default,key pressed,1,2017-06-21 11:32:08.885349,1.062595,"t"
default,key pressed,1,2017-06-21 11:32:09.040853,0.155437,"h"
default,key pressed,1,2017-06-21 11:32:09.081121,0.040206,"e"
default,key pressed,1,2017-06-21 11:32:09.287185,0.206001," "
default,key pressed,1,2017-06-21 11:32:09.468574,0.181328,"q"
default,word typed,1,2017-06-21 11:32:09.468758,1.974884,"the q"
default,key pressed,1,2017-06-21 11:32:09.642554,0.173916,"u"
default,key pressed,1,2017-06-21 11:32:09.768558,0.125940,"i"
default,key pressed,1,2017-06-21 11:32:09.992064,0.223435,"c"
default,key pressed,1,2017-06-21 11:32:10.199810,0.207683,"k"
default,key pressed,1,2017-06-21 11:32:10.455383,0.255512," "
default,word typed,1,2017-06-21 11:32:10.455794,0.986788,"uick "
default,key pressed,1,2017-06-21 11:32:11.041200,0.585753,"o"
default,key pressed,1,2017-06-21 11:32:11.138696,0.097430,"o"
default,key pressed,1,2017-06-21 11:32:11.349310,0.210541,"n"
default,key pressed,1,2017-06-21 11:32:11.565223,0.215741,"y"
default,key pressed,1,2017-06-21 11:32:11.845078,0.279901,"x"
default,word typed,1,2017-06-21 11:32:11.845822,1.390222,"oonyx"
default,key pressed,1,2017-06-21 11:32:12.163512,0.318376," "
default,key pressed,1,2017-06-21 11:32:12.487842,0.324265,"g"
default,key pressed,1,2017-06-21 11:32:12.693350,0.205446,"o"
default,key pressed,1,2017-06-21 11:32:12.905429,0.212014,"b"
default,key pressed,1,2017-06-21 11:32:13.039640,0.134148,"l"
default,word typed,1,2017-06-21 11:32:13.040359,1.194506," gobl"
default,key pressed,1,2017-06-21 11:32:13.242915,0.203210,"i"
default,key pressed,1,2017-06-21 11:32:13.417093,0.174105,"n"
default,key pressed,1,2017-06-21 11:32:13.523988,0.106713," "
default,key pressed,1,2017-06-21 11:32:13.750295,0.226179,"j"
default,key pressed,1,2017-06-21 11:32:14.006616,0.256267,"u"
default,word typed,1,2017-06-21 11:32:14.006801,0.966433,"in ju"
default,key pressed,1,2017-06-21 11:32:14.292299,0.285620,"m"
default,key pressed,1,2017-06-21 11:32:14.520061,0.227569,"p"
default,key pressed,1,2017-06-21 11:32:14.726426,0.206431,"s"
default,key pressed,1,2017-06-21 11:32:14.838024,0.111442," "
default,key pressed,1,2017-06-21 11:32:15.188713,0.350642,"a"
default,word typed,1,2017-06-21 11:32:15.189331,1.182493,"mps a"
default,key pressed,1,2017-06-21 11:32:15.361777,0.172977,"b"
default,key pressed,1,2017-06-21 11:32:15.575370,0.213549,"o"
default,key pressed,1,2017-06-21 11:32:15.748536,0.173098,"v"
default,key pressed,1,2017-06-21 11:32:15.904690,0.156090,"e"
default,key pressed,1,2017-06-21 11:32:16.031672,0.126912," "
default,word typed,1,2017-06-21 11:32:16.032386,0.843028,"bove "
default,key pressed,1,2017-06-21 11:32:16.212571,0.180840,"t"
default,key pressed,1,2017-06-21 11:32:16.315347,0.102647,"h"
