input technique,input type,subject id,timestamp,time needed in ms,input
default,key pressed,4,2017-06-21 21:07:02.105711,0.472662,"d"
default,key pressed,4,2017-06-21 21:07:02.545742,0.440003,"s"
default,key pressed,4,2017-06-21 21:07:02.808949,0.263183," "
default,key pressed,4,2017-06-21 21:07:03.488925,0.679954,"j"
default,word typed,4,2017-06-21 21:07:03.488986,2.295072,"rds j"
default,key pressed,4,2017-06-21 21:07:03.824803,0.335849,"u"
default,key pressed,4,2017-06-21 21:07:04.064988,0.240152,"m"
default,key pressed,4,2017-06-21 21:07:04.177725,0.112696,"p"
default,key pressed,4,2017-06-21 21:07:04.465701,0.287955," "
default,key pressed,4,2017-06-21 21:07:04.737921,0.272179,"q"
default,word typed,4,2017-06-21 21:07:04.738007,1.249010,"ump q"
default,key pressed,4,2017-06-21 21:07:04.913764,0.175808,"u"
default,key pressed,4,2017-06-21 21:07:05.033823,0.120027,"i"
default,key pressed,4,2017-06-21 21:07:05.345875,0.312015,"c"
default,key pressed,4,2017-06-21 21:07:05.457467,0.111550,"k"
default,key pressed,4,2017-06-21 21:07:05.993904,0.536409,"l"
default,word typed,4,2017-06-21 21:07:05.993990,1.255974,"uickl"
default,key pressed,4,2017-06-21 21:07:06.241960,0.248021,"y"
default,sentence typed,4,2017-06-21 21:07:06.713756,10.760673,"the five boxing wizards jump quickly"
default,key pressed,4,2017-06-21 21:07:07.905854,1.663869,"c"
default,key pressed,4,2017-06-21 21:07:08.153149,0.247268,"r"
default,key pressed,4,2017-06-21 21:07:08.273992,0.120796,"a"
default,key pressed,4,2017-06-21 21:07:08.497974,0.223948,"z"
default,key pressed,4,2017-06-21 21:07:08.721848,0.223837,"y"
default,word typed,4,2017-06-21 21:07:08.721955,2.727953,"crazy"
default,key pressed,4,2017-06-21 21:07:09.257963,0.536078," "
default,key pressed,4,2017-06-21 21:07:09.634383,0.376403,"F"
default,key pressed,4,2017-06-21 21:07:09.985546,0.351049,"r"
default,key pressed,4,2017-06-21 21:07:10.249468,0.263935,"e"
default,key pressed,4,2017-06-21 21:07:10.690063,0.440552,"d"
default,word typed,4,2017-06-21 21:07:10.690183,1.968214," Fred"
default,key pressed,4,2017-06-21 21:07:10.977211,0.287125,"e"
default,key pressed,4,2017-06-21 21:07:11.129261,0.152020,"r"
default,key pressed,4,2017-06-21 21:07:11.505245,0.375954,"i"
default,key pressed,4,2017-06-21 21:07:11.793273,0.287999,"c"
default,key pressed,4,2017-06-21 21:07:12.129966,0.336618,"k"
default,word typed,4,2017-06-21 21:07:12.130072,1.439882,"erick"
default,key pressed,4,2017-06-21 21:07:12.457231,0.327271," "
default,key pressed,4,2017-06-21 21:07:12.665320,0.208059,"b"
default,key pressed,4,2017-06-21 21:07:12.817164,0.151815,"o"
default,key pressed,4,2017-06-21 21:07:12.913307,0.096115,"u"
default,key pressed,4,2017-06-21 21:07:13.177416,0.264081,"g"
default,word typed,4,2017-06-21 21:07:13.177494,1.047421," boug"
default,key pressed,4,2017-06-21 21:07:13.353180,0.175739,"h"
default,key pressed,4,2017-06-21 21:07:13.601375,0.248170,"t"
default,key pressed,4,2017-06-21 21:07:13.753400,0.151994," "
default,key pressed,4,2017-06-21 21:07:14.369890,0.616434,"m"
default,key pressed,4,2017-06-21 21:07:14.529426,0.159520,"a"
default,word typed,4,2017-06-21 21:07:14.529605,1.352099,"ht ma"
default,key pressed,4,2017-06-21 21:07:14.697377,0.167925,"n"
default,key pressed,4,2017-06-21 21:07:14.897755,0.200349,"y"
default,key pressed,4,2017-06-21 21:07:15.113402,0.215619," "
default,key pressed,4,2017-06-21 21:07:15.521698,0.408269,"v"
default,key pressed,4,2017-06-21 21:07:15.778005,0.256240,"e"
default,word typed,4,2017-06-21 21:07:15.778178,1.248564,"ny ve"
default,key pressed,4,2017-06-21 21:07:15.865421,0.087401,"r"
default,key pressed,4,2017-06-21 21:07:16.281563,0.416085,"y"
default,key pressed,4,2017-06-21 21:07:16.490275,0.208677," "
default,key pressed,4,2017-06-21 21:07:17.018586,0.528281,"e"
default,key pressed,4,2017-06-21 21:07:17.385969,0.367324,"x"
