participant ID,stimulus,mental complexity,distraction,pressed key,correct key,correct key pressed,reaction time in ms,timestamp
4,▼,pre-attentive,False,down,down,True,458,2017-05-25 21:18:12
4,▼,pre-attentive,False,down,down,True,505,2017-05-25 21:18:13
4,▲,pre-attentive,False,up,up,True,370,2017-05-25 21:18:13
4,▲,pre-attentive,False,up,up,True,346,2017-05-25 21:18:14
4,▲,pre-attentive,False,up,up,True,314,2017-05-25 21:18:15
4,▼,pre-attentive,False,up,down,False,354,2017-05-25 21:18:16
4,▲,pre-attentive,False,up,up,True,384,2017-05-25 21:18:17
4,▲,pre-attentive,False,up,up,True,506,2017-05-25 21:18:18
4,helicopter,attentive,False,up,up,True,570,2017-05-25 21:18:19
4,U.F.O.,attentive,False,up,up,True,562,2017-05-25 21:18:20
4,fly,attentive,False,up,up,True,562,2017-05-25 21:18:21
4,guitar,attentive,False,up,down,False,490,2017-05-25 21:18:22
4,bus,attentive,False,down,down,True,666,2017-05-25 21:18:23
4,superman,attentive,False,up,up,True,458,2017-05-25 21:18:24
4,U.F.O.,attentive,False,up,up,True,554,2017-05-25 21:18:25
4,dragon,attentive,False,up,up,True,578,2017-05-25 21:18:26
4,helicopter,attentive,False,up,up,True,546,2017-05-25 21:18:27
4,butterfly,attentive,False,up,up,True,497,2017-05-25 21:18:28
4,superman,attentive,False,up,up,True,562,2017-05-25 21:18:29
